country,region,plan_name,pub_yr,MPA,MPA_designation,climate_considering,climate_robustness_score
Canada,Canada,Hesquiat Peninsula Provincial Park Purpose Statement and Zoning Plan,2003,Hesquiat Peninsula Provincial Park,Provincial Park,no,NA
Canada,Canada,Huchsduwachsdu Nuyem Jees / Kitlope Heritage Conservancy Management Plan,2012,Huchsduwachsdu Nuyem Jees / Kitlope Heritage Conservancy,Conservancy,no,NA
Canada,Canada,Hudson Rocks Ecological Reserve Purpose Statement,2003,Hudson Rocks Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Jedediah Island Marine Park Management Plan,2000,Jedediah Island Marine Park,Marine Park,no,NA
Canada,Canada,Juan De Fuca Provincial Park Purpose Statement and Zoning Plan,2003,Juan De Fuca Provincial Park,Provincial Park,no,NA
Canada,Canada,K'nabiyaaxl / Ashdown Conservancy Management Plan,2015,K'nabiyaaxl / Ashdown Conservancy,Conservancy,yes,NA
Canada,Canada,K'uuna Gwaay Management Plan,2011,K'uuna Gwaay Conservancy,Conservancy,yes,NA
Canada,Canada,Kamdis Management Plan,2011,Kamdis Conservancy,Conservancy,yes,NA
Canada,Canada,Kejimkujik National Park And National Historic Site of Canada Management Plan,2010,Kejimkujik National Park And National Historic Site of Canada,National Park And National Historic Site of Canada,yes,7
Canada,Canada,"Khutzeymateen Park (a.k.a. Khutzeymateen / K’tzim-a-deen Grizzly Sanctuary), Khutzeymateen Inlet Conservancy & Khutzeymateen Inlet West Conservancy Management Plan",2011,Khutzeymateen Inlet Conservancy,Conservancy,yes,NA
Canada,Canada,"Khutzeymateen Park (a.k.a. Khutzeymateen / K’tzim-a-deen Grizzly Sanctuary), Khutzeymateen Inlet Conservancy & Khutzeymateen Inlet West Conservancy Management Plan",2011,Khutzeymateen Inlet West Conservancy,Conservancy,yes,NA
Canada,Canada,"Khutzeymateen Park (a.k.a. Khutzeymateen / K’tzim-a-deen Grizzly Sanctuary), Khutzeymateen Inlet Conservancy & Khutzeymateen Inlet West Conservancy Management Plan",2011,Khutzeymateen Park (a.k.a. Khutzeymateen / K'Tzim-A-Deen Grizzly Sanctuary),Park,yes,NA
Canada,Canada,Kitasoo Spirit Bear Conservancy Management Plan,2015,Kitasoo Spirit Bear Conservancy,Conservancy,no,NA
Canada,Canada,Klaskish River Ecological Reserve Purpose Statement,2003,Klaskish River Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Kouchibouguac National Park of Canada Management Plan,2010,Kouchibouguac National Park of Canada,National Park,no,NA
Canada,Canada,Kunxalas Management Plan,2011,Kunxalas Conservancy,Conservancy,yes,NA
Canada,Canada,Lanz and Cox Islands Provincial Park Purpose Statement and Zoning Plan,2003,Lanz and Cox Islands Provincial Park,Provincial Park,no,NA
Canada,Canada,Lawn Bay Ecological Reserve Management Plan,2015,Lawn Bay Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Lawn Point Provincial Park Purpose Statement and Zoning Plan,2003,Lawn Point Provincial Park,Provincial Park,no,NA
Canada,Canada,Lax Kwil Dziidz / Fin Conservancy Management Plan,2016,Lax Kwil Dziidz / Fin Conservancy,Conservancy,no,NA
Canada,Canada,lvvavik National Park of Canada Management Plan,2018,Ivvavik National Park of Canada,National Park,yes,NA
Canada,Canada,Mahpahkum-Ahkwuna / Deserters-Walker Conservancy Management Plan,2013,Mahpahkum-Ahkwuna / Deserters-Walker Conservancy,Conservancy,yes,NA
Canada,Canada,Management Direction Statement for Homathko Estuary Provincial Park,1999,Homathko Estuary Provincial Park,Provincial Park,no,NA
Canada,Canada,Management Direction Statement for Kitson Island Marine Provincial Park,2003,Kitson Island Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Management Direction Statement for Klewnuggit Inlet Marine Provincial Park,2003,Klewnuggit Inlet Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Management Direction Statement for Lowe Inlet Marine Provincial Park,2003,Lowe Inlet Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Management Direction Statement for Union Passage Marine Provincial Park,2003,Union Passage Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Management Direction Statement for Vladimir J. Krajina Ecological Reserve,2004,Vladimir J. Krajina Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Management Plan: Cape St. Mary's Ecological Reserve,1994,Cape St. Mary's Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Management Plan: Witless Bay Ecological Reserve,1994,Witless Bay Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Mansons Landing Provincial Park Purpose Statement and Zoning Plan,2003,Mansons Landing Provincial Park,Provincial Park,no,NA
Canada,Canada,Maquinna Provincial Park Purpose Statement and Zoning Plan,2003,Maquinna Provincial Park,Provincial Park,no,NA
Canada,Canada,Marble River Provincial Park Purpose Statement and Zoning Plan,2003,Marble River Provincial Park,Provincial Park,no,NA
Canada,Canada,Miracle Beach Provincial Park Master Plan,1989,Miracle Beach Provincial Park,Provincial Park,no,NA
Canada,Canada,Mitlenatch Island Nature Provincial Park Purpose Statement and Zoning Plan,2003,Mitlenatch Island Nature Provincial Park,Provincial Park,no,NA
Canada,Canada,Montague Harbour Marine Provincial Park Purpose Statement and Zoning Plan,2003,Montague Harbour Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Moore / McKenney / Whitmore Islands Ecological Reserve Purpose Statement,2003,Moore / McKenney / Whitmore Islands Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Mquqwin / Brooks Peninsula Park and Hisnit / Power River Watershed Protected Area Management Plan,2016,Mquqwin / Brooks Peninsula Park,Park,yes,NA
Canada,Canada,Musquash Estuary: A Management Plan for the Marine Protected Area and Administered Intertidal Area,2017,Musquash Estuary Marine Protected Area,Marine Protected Area,yes,2
Canada,Canada,Naikoon Management Plan,1999,Naikoon Provincial Park,Provincial Park,no,NA
Canada,Canada,Naikoon Management Plan,1999,Rose Spit Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Naikoon Management Plan,1999,Tow Hill Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Nang Xaldangaas Management Plan,2011,Nang Xaldangaas Conservancy,Conservancy,yes,NA
Canada,Canada,Ne?i? / Nekite Estuary Conservancy Management Plan,2013,Ne?i? / Nekite Estuary Conservancy,Conservancy,yes,NA
Canada,Canada,Newcastle Island Provincial Marine Park Master Plan,1995,Newcastle Island Provincial Marine Park,Provincial Marine Park,no,NA
Canada,Canada,Nuchatlitz Provincial Park Purpose Statement and Zoning Plan,2003,Nuchatlitz Provincial Park,Provincial Park,no,NA
Canada,Canada,Oak Bay Islands Ecological Reserve Purpose Statement,2003,Oak Bay Islands Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Octopus Islands Provincial Park Purpose Statement and Zoning Plan,2003,Octopus Islands Provincial Park,Provincial Park,no,NA
Canada,Canada,Pacific Rim National Park Reserve of Canada Management Plan,2010,Pacific Rim National Park Reserve of Canada,National Park,yes,6
Canada,Canada,Parksville-Qualicum Beach Wildlife Management Area Management Plan,2003,Parksville-Qualicum Beach Wildlife Management Area,Wildlife Management Area,no,NA
Canada,Canada,Pingo Canadian Landmark Memorandum of Agreement,2001,Pingo Canadian Landmark,Landmark,yes,NA
Canada,Canada,Pirates Cove Marine Provincial Park Management Plan,2004,Pirates Cove Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Plumper Cove Marine Park Master Plan,1980,Plumper Cove Marine Park,Marine Park,no,NA
Canada,Canada,Polar Bear Provincial Park Management Plan,2019,Polar Bear Provincial Park,Provincial Park,no,NA
Canada,Canada,Porteau Cove Provincial Park Master Plan,1990,Porteau Cove Provincial Park,Provincial Park,no,NA
Canada,Canada,Princess Louisa Marine Provincial Park Purpose Statement and Zoning Plan,2003,Princess Louisa Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Quatsino Provincial Park Purpose Statement and Zoning Plan,2003,Quatsino Provincial Park,Provincial Park,no,NA
Canada,Canada,Quttinirpaaq National Park of Canada Management Plan,2006,Quttinirpaaq National Park of Canada,National Park,yes,14
Canada,Canada,Qwiquallaaq / Boat Bay Conservancy Management Plan,2013,Qwiquallaaq / Boat Bay Conservancy,Conservancy,no,NA
Canada,Canada,Race Rocks Ecological Reserve Management Plan,2002,Race Rocks Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Raft Cove Provincial Park Master Plan,1993,Raft Cove Provincial Park,Provincial Park,no,NA
Canada,Canada,Rathtrevor Beach Provincial Park Master Plan,1987,Rathtrevor Beach Provincial Park,Provincial Park,no,NA
Canada,Canada,Rebecca Spit Provincial Park Purpose Statement and Zoning Plan,2003,Rebecca Spit Provincial Park,Provincial Park,no,NA
Canada,Canada,Rendezvous Island South Provincial Park Purpose Statement and Zoning Plan,2003,Rendezvous Island South Provincial Park,Provincial Park,no,NA
Canada,Canada,Robson Bight (Michael Bigg) Ecological Reserve Purpose Statement,2003,Robson Bight (Michael Bigg) Ecological Reserve,Ecological Reserve,no,NA
Canada,Canada,Rock Bay Marine Provincial Park Purpose Statement and Zoning Plan,2003,Rock Bay Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Roscoe Bay Marine Provincial Park Purpose Statement and Zoning Plan,2003,Roscoe Bay Provincial Park,Provincial Park,no,NA
Canada,Canada,Rugged Point Marine Provincial Park Purpose Statement and Zoning Plan,2003,Rugged Point Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Sabine Channel Marine Provincial Park (Bunny / Jervis Island) Purpose Statement and Zoning Plan,2003,Sabine Channel Marine Provincial Park,Marine Provincial Park,no,NA
Canada,Canada,Saltery Bay Provincial Park Master Plan,1981,Saltery Bay Provincial Park,Provincial Park,no,NA
